#,Date-Time (French Polynesia Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,10/22/2022 13:00:00,28.53,436.16,Logged,,,,,
2,10/22/2022 13:10:00,28.44,426.72,,,,,,
3,10/22/2022 13:20:00,28.74,7201.28,,,,,,
4,10/22/2022 13:30:00,28.65,7152.64,,,,,,
5,10/22/2022 13:40:00,28.65,6714.88,,,,,,
6,10/22/2022 13:50:00,28.65,6446.08,,,,,,
7,10/22/2022 14:00:00,28.65,6251.52,,,,,,
8,10/22/2022 14:10:00,28.61,6062.08,,,,,,
9,10/22/2022 14:20:00,28.61,5818.88,,,,,,
10,10/22/2022 14:30:00,28.57,5744.64,,,,,,
11,10/22/2022 14:40:00,28.53,5601.28,,,,,,
12,10/22/2022 14:50:00,28.53,5216.00,,,,,,
13,10/22/2022 15:00:00,28.40,5066.24,,,,,,
14,10/22/2022 15:10:00,28.35,4728.32,,,,,,
15,10/22/2022 15:20:00,28.18,3371.52,,,,,,
16,10/22/2022 15:30:00,28.05,1443.84,,,,,,
17,10/22/2022 15:40:00,27.97,1249.60,,,,,,
18,10/22/2022 15:50:00,27.88,832.64,,,,,,
19,10/22/2022 16:00:00,27.84,1131.84,,,,,,
20,10/22/2022 16:10:00,27.75,1021.76,,,,,,
21,10/22/2022 16:20:00,27.75,1731.20,,,,,,
22,10/22/2022 16:30:00,27.63,526.24,,,,,,
23,10/22/2022 16:40:00,27.54,679.68,,,,,,
24,10/22/2022 16:50:00,27.54,460.16,,,,,,
25,10/22/2022 17:00:00,27.50,325.60,,,,,,
26,10/22/2022 17:10:00,27.50,274.00,,,,,,
27,10/22/2022 17:20:00,27.54,198.80,,,,,,
28,10/22/2022 17:30:00,27.45,157.56,,,,,,
29,10/22/2022 17:40:00,27.41,113.04,,,,,,
30,10/22/2022 17:50:00,27.37,71.00,,,,,,
31,10/22/2022 18:00:00,27.37,27.57,,,,,,
32,10/22/2022 18:10:00,27.32,6.60,,,,,,
33,10/22/2022 18:20:00,27.37,0.21,,,,,,
34,10/22/2022 18:30:00,27.28,0.00,,,,,,
35,10/22/2022 18:40:00,27.37,0.00,,,,,,
36,10/22/2022 18:50:00,27.37,0.00,,,,,,
37,10/22/2022 19:00:00,27.37,0.00,,,,,,
38,10/22/2022 19:10:00,27.37,0.00,,,,,,
39,10/22/2022 19:20:00,27.37,0.00,,,,,,
40,10/22/2022 19:30:00,27.37,0.00,,,,,,
41,10/22/2022 19:40:00,27.37,0.00,,,,,,
42,10/22/2022 19:50:00,27.32,0.00,,,,,,
43,10/22/2022 20:00:00,27.37,0.00,,,,,,
44,10/22/2022 20:10:00,27.37,0.00,,,,,,
45,10/22/2022 20:20:00,27.37,0.00,,,,,,
46,10/22/2022 20:30:00,27.37,0.00,,,,,,
47,10/22/2022 20:40:00,27.32,0.00,,,,,,
48,10/22/2022 20:50:00,27.32,0.00,,,,,,
49,10/22/2022 21:00:00,27.32,0.00,,,,,,
50,10/22/2022 21:10:00,27.32,0.00,,,,,,
51,10/22/2022 21:20:00,27.28,0.00,,,,,,
52,10/22/2022 21:30:00,27.28,0.00,,,,,,
53,10/22/2022 21:40:00,27.28,0.00,,,,,,
54,10/22/2022 21:50:00,27.28,0.00,,,,,,
55,10/22/2022 22:00:00,27.24,0.21,,,,,,
56,10/22/2022 22:10:00,27.28,0.00,,,,,,
57,10/22/2022 22:20:00,27.28,0.00,,,,,,
58,10/22/2022 22:30:00,27.20,0.00,,,,,,
59,10/22/2022 22:40:00,27.24,0.00,,,,,,
60,10/22/2022 22:50:00,27.24,0.00,,,,,,
61,10/22/2022 23:00:00,27.24,0.00,,,,,,
62,10/22/2022 23:10:00,27.24,0.00,,,,,,
63,10/22/2022 23:20:00,27.20,0.00,,,,,,
64,10/22/2022 23:30:00,27.20,0.00,,,,,,
65,10/22/2022 23:40:00,27.24,0.00,,,,,,
66,10/22/2022 23:50:00,27.20,0.00,,,,,,
67,10/23/2022 00:00:00,27.15,0.00,,,,,,
68,10/23/2022 00:10:00,27.15,0.00,,,,,,
