#,Date-Time (French Polynesia Standard Time),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,10/12/2022 20:30:00,26.34,0.00,Logged,,,,,
2,10/12/2022 20:40:00,26.64,0.00,,,,,,
3,10/12/2022 20:50:00,26.64,0.00,,,,,,
4,10/12/2022 21:00:00,26.64,0.00,,,,,,
5,10/12/2022 21:10:00,26.64,0.00,,,,,,
6,10/12/2022 21:20:00,26.68,0.00,,,,,,
7,10/12/2022 21:30:00,26.68,0.00,,,,,,
8,10/12/2022 21:40:00,26.68,0.00,,,,,,
9,10/12/2022 21:50:00,26.68,0.00,,,,,,
10,10/12/2022 22:00:00,26.60,0.00,,,,,,
11,10/12/2022 22:10:00,26.60,0.00,,,,,,
12,10/12/2022 22:20:00,26.47,0.00,,,,,,
13,10/12/2022 22:30:00,26.42,0.00,,,,,,
14,10/12/2022 22:40:00,26.34,0.00,,,,,,
15,10/12/2022 22:50:00,26.34,0.00,,,,,,
16,10/12/2022 23:00:00,26.25,0.00,,,,,,
17,10/12/2022 23:10:00,26.17,0.00,,,,,,
18,10/12/2022 23:20:00,26.21,0.00,,,,,,
19,10/12/2022 23:30:00,26.12,0.00,,,,,,
20,10/12/2022 23:40:00,26.08,0.00,,,,,,
21,10/12/2022 23:50:00,25.99,0.00,,,,,,
22,10/13/2022 00:00:00,25.99,0.00,,,,,,
23,10/13/2022 00:10:00,25.91,0.00,,,,,,
24,10/13/2022 00:20:00,25.91,0.00,,,,,,
25,10/13/2022 00:30:00,25.87,0.00,,,,,,
26,10/13/2022 00:40:00,25.82,0.00,,,,,,
27,10/13/2022 00:50:00,25.78,0.00,,,,,,
28,10/13/2022 01:00:00,25.69,0.00,,,,,,
29,10/13/2022 01:10:00,25.65,0.00,,,,,,
30,10/13/2022 01:20:00,25.65,0.00,,,,,,
31,10/13/2022 01:30:00,25.61,0.00,,,,,,
32,10/13/2022 01:40:00,25.57,0.00,,,,,,
33,10/13/2022 01:50:00,25.52,0.00,,,,,,
34,10/13/2022 02:00:00,25.44,0.00,,,,,,
35,10/13/2022 02:10:00,25.44,0.00,,,,,,
36,10/13/2022 02:20:00,25.44,0.00,,,,,,
37,10/13/2022 02:30:00,25.35,0.00,,,,,,
38,10/13/2022 02:40:00,25.35,0.00,,,,,,
39,10/13/2022 02:50:00,25.31,0.00,,,,,,
40,10/13/2022 03:00:00,25.22,0.00,,,,,,
41,10/13/2022 03:10:00,25.27,0.00,,,,,,
42,10/13/2022 03:20:00,25.14,0.00,,,,,,
43,10/13/2022 03:30:00,25.14,0.00,,,,,,
44,10/13/2022 03:40:00,25.14,0.00,,,,,,
45,10/13/2022 03:50:00,25.09,0.00,,,,,,
46,10/13/2022 04:00:00,25.05,0.00,,,,,,
47,10/13/2022 04:10:00,25.05,0.00,,,,,,
48,10/13/2022 04:20:00,24.97,0.00,,,,,,
49,10/13/2022 04:30:00,24.97,0.00,,,,,,
50,10/13/2022 04:40:00,24.92,0.00,,,,,,
51,10/13/2022 04:50:00,24.92,0.00,,,,,,
52,10/13/2022 05:00:00,24.92,0.00,,,,,,
53,10/13/2022 05:10:00,24.88,0.00,,,,,,
54,10/13/2022 05:20:00,24.84,4.61,,,,,,
55,10/13/2022 05:30:00,24.84,33.53,,,,,,
56,10/13/2022 05:40:00,24.79,116.64,,,,,,
57,10/13/2022 05:50:00,24.84,193.52,,,,,,
58,10/13/2022 06:00:00,24.75,275.76,,,,,,
59,10/13/2022 06:10:00,24.75,363.20,,,,,,
60,10/13/2022 06:20:00,24.71,438.40,,,,,,
61,10/13/2022 06:30:00,24.75,1320.96,,,,,,
62,10/13/2022 06:40:00,24.71,1664.64,,,,,,
63,10/13/2022 06:50:00,24.75,664.32,,,,,,
64,10/13/2022 07:00:00,24.79,2620.16,,,,,,
65,10/13/2022 07:10:00,24.79,1109.12,,,,,,
66,10/13/2022 07:20:00,24.84,3313.92,,,,,,
67,10/13/2022 07:30:00,24.88,3756.80,,,,,,
68,10/13/2022 07:40:00,24.92,3939.84,,,,,,
69,10/13/2022 07:50:00,24.88,4432.64,,,,,,
70,10/13/2022 08:00:00,24.92,2999.04,,,,,,
71,10/13/2022 08:10:00,25.09,4337.92,,,,,,
72,10/13/2022 08:20:00,25.09,5324.80,,,,,,
73,10/13/2022 08:30:00,25.18,3267.84,,,,,,
74,10/13/2022 08:40:00,25.18,1523.84,,,,,,
75,10/13/2022 08:50:00,25.27,6264.32,,,,,,
76,10/13/2022 09:00:00,25.35,6656.00,,,,,,
77,10/13/2022 09:10:00,25.44,6888.96,,,,,,
78,10/13/2022 09:20:00,25.48,7162.88,,,,,,
79,10/13/2022 09:30:00,25.52,7352.32,,,,,,
80,10/13/2022 09:40:00,25.57,7641.60,,,,,,
81,10/13/2022 09:50:00,25.69,7895.04,,,,,,
82,10/13/2022 10:00:00,25.78,7971.84,,,,,,
83,10/13/2022 10:10:00,25.82,8232.96,,,,,,
84,10/13/2022 10:20:00,25.95,8949.76,,,,,,
85,10/13/2022 10:30:00,25.99,8824.32,,,,,,
86,10/13/2022 10:40:00,26.08,9154.56,,,,,,
87,10/13/2022 10:50:00,26.17,9111.04,,,,,,
88,10/13/2022 11:00:00,26.25,9443.84,,,,,,
89,10/13/2022 11:10:00,26.30,7907.84,,,,,,
90,10/13/2022 11:20:00,26.38,10104.32,,,,,,
91,10/13/2022 11:30:00,26.60,8857.60,,,,,,
92,10/13/2022 11:40:00,26.55,5056.00,,,,,,
93,10/13/2022 11:50:00,26.60,6062.08,,,,,,
94,10/13/2022 12:00:00,26.55,3658.24,,,,,,
95,10/13/2022 12:10:00,26.77,7956.48,,,,,,
96,10/13/2022 12:20:00,26.64,4062.72,,,,,,
97,10/13/2022 12:30:00,26.77,3992.32,,,,,,
98,10/13/2022 12:40:00,26.98,6850.56,,,,,,
99,10/13/2022 12:50:00,26.85,2286.72,,,,,,
100,10/13/2022 13:00:00,27.02,3929.60,,,,,,
101,10/13/2022 13:10:00,27.20,4161.28,,,,,,
102,10/13/2022 13:20:00,27.07,3082.24,,,,,,
103,10/13/2022 13:30:00,27.24,4348.16,,,,,,
104,10/13/2022 13:40:00,27.32,7682.56,,,,,,
105,10/13/2022 13:50:00,27.24,3852.80,,,,,,
106,10/13/2022 14:00:00,27.28,2798.08,,,,,,
107,10/13/2022 14:10:00,27.45,7191.04,,,,,,
108,10/13/2022 14:20:00,27.54,6855.68,,,,,,
109,10/13/2022 14:30:00,27.54,6686.72,,,,,,
110,10/13/2022 14:40:00,27.63,8261.12,,,,,,
111,10/13/2022 14:50:00,27.58,3416.32,,,,,,
112,10/13/2022 15:00:00,27.58,3633.92,,,,,,
113,10/13/2022 15:10:00,27.63,3298.56,,,,,,
114,10/13/2022 15:20:00,27.75,6973.44,,,,,,
115,10/13/2022 15:30:00,27.71,3464.96,,,,,,
116,10/13/2022 15:40:00,27.67,1671.04,,,,,,
117,10/13/2022 15:50:00,27.67,1539.84,,,,,,
118,10/13/2022 16:00:00,27.71,1603.84,,,,,,
119,10/13/2022 16:10:00,27.75,1931.52,,,,,,
120,10/13/2022 16:20:00,27.75,1598.08,,,,,,
121,10/13/2022 16:30:00,27.67,1019.20,,,,,,
122,10/13/2022 16:40:00,27.63,943.68,,,,,,
123,10/13/2022 16:50:00,27.63,756.80,,,,,,
124,10/13/2022 17:00:00,27.58,746.24,,,,,,
125,10/13/2022 17:10:00,27.58,606.40,,,,,,
126,10/13/2022 17:20:00,27.50,442.24,,,,,,
127,10/13/2022 17:30:00,27.50,314.64,,,,,,
128,10/13/2022 17:40:00,27.45,178.56,,,,,,
129,10/13/2022 17:50:00,27.37,95.44,,,,,,
130,10/13/2022 18:00:00,27.37,33.92,,,,,,
131,10/13/2022 18:10:00,27.32,5.27,,,,,,
132,10/13/2022 18:20:00,27.37,0.00,,,,,,
133,10/13/2022 18:30:00,27.32,0.00,,,,,,
134,10/13/2022 18:40:00,27.24,0.00,,,,,,
135,10/13/2022 18:50:00,27.24,0.00,,,,,,
136,10/13/2022 19:00:00,27.20,0.00,,,,,,
137,10/13/2022 19:10:00,27.15,0.00,,,,,,
138,10/13/2022 19:20:00,27.15,0.00,,,,,,
139,10/13/2022 19:30:00,27.11,0.00,,,,,,
140,10/13/2022 19:40:00,26.77,0.00,,,,,,
141,10/13/2022 19:50:00,26.60,0.00,,,,,,
142,10/13/2022 20:00:00,26.60,0.00,,,,,,
143,10/13/2022 20:10:00,26.64,0.00,,,,,,
144,10/13/2022 20:20:00,26.72,0.00,,,,,,
145,10/13/2022 20:30:00,26.81,0.00,,,,,,
146,10/13/2022 20:40:00,26.85,0.00,,,,,,
147,10/13/2022 20:50:00,26.85,0.00,,,,,,
148,10/13/2022 21:00:00,26.85,0.00,,,,,,
149,10/13/2022 21:10:00,26.90,0.00,,,,,,
150,10/13/2022 21:20:00,26.90,0.00,,,,,,
151,10/13/2022 21:30:00,26.90,0.00,,,,,,
152,10/13/2022 21:40:00,26.90,0.00,,,,,,
153,10/13/2022 21:50:00,26.81,0.00,,,,,,
154,10/13/2022 22:00:00,26.77,0.00,,,,,,
155,10/13/2022 22:10:00,26.72,0.00,,,,,,
156,10/13/2022 22:20:00,26.64,0.00,,,,,,
157,10/13/2022 22:30:00,26.55,0.00,,,,,,
158,10/13/2022 22:40:00,26.60,0.00,,,,,,
159,10/13/2022 22:50:00,26.51,0.00,,,,,,
160,10/13/2022 23:00:00,26.47,0.00,,,,,,
161,10/13/2022 23:10:00,26.47,0.00,,,,,,
162,10/13/2022 23:20:00,26.34,0.00,,,,,,
163,10/13/2022 23:30:00,26.38,0.00,,,,,,
164,10/13/2022 23:40:00,26.30,0.00,,,,,,
165,10/13/2022 23:50:00,26.25,0.00,,,,,,
166,10/14/2022 00:00:00,26.21,0.00,,,,,,
167,10/14/2022 00:10:00,26.17,0.00,,,,,,
168,10/14/2022 00:20:00,26.04,0.00,,,,,,
169,10/14/2022 00:30:00,26.04,0.00,,,,,,
170,10/14/2022 00:40:00,25.99,0.00,,,,,,
171,10/14/2022 00:50:00,25.95,0.00,,,,,,
172,10/14/2022 01:00:00,25.95,0.00,,,,,,
173,10/14/2022 01:10:00,25.87,0.00,,,,,,
174,10/14/2022 01:20:00,25.82,0.00,,,,,,
175,10/14/2022 01:30:00,25.78,0.00,,,,,,
176,10/14/2022 01:40:00,25.74,0.00,,,,,,
177,10/14/2022 01:50:00,25.74,0.00,,,,,,
178,10/14/2022 02:00:00,25.69,0.00,,,,,,
179,10/14/2022 02:10:00,25.65,0.00,,,,,,
180,10/14/2022 02:20:00,25.61,0.00,,,,,,
181,10/14/2022 02:30:00,25.57,0.00,,,,,,
182,10/14/2022 02:40:00,25.48,0.00,,,,,,
183,10/14/2022 02:50:00,25.52,0.00,,,,,,
184,10/14/2022 03:00:00,25.39,0.00,,,,,,
185,10/14/2022 03:10:00,25.39,0.00,,,,,,
186,10/14/2022 03:20:00,25.35,0.00,,,,,,
187,10/14/2022 03:30:00,25.31,0.00,,,,,,
188,10/14/2022 03:40:00,25.27,0.00,,,,,,
189,10/14/2022 03:50:00,25.22,0.00,,,,,,
190,10/14/2022 04:00:00,25.18,0.00,,,,,,
191,10/14/2022 04:10:00,25.18,0.00,,,,,,
192,10/14/2022 04:20:00,25.14,0.00,,,,,,
193,10/14/2022 04:30:00,25.14,0.00,,,,,,
194,10/14/2022 04:40:00,25.09,0.00,,,,,,
195,10/14/2022 04:50:00,25.01,0.00,,,,,,
196,10/14/2022 05:00:00,25.05,0.00,,,,,,
197,10/14/2022 05:10:00,25.01,0.00,,,,,,
198,10/14/2022 05:20:00,24.92,5.49,,,,,,
199,10/14/2022 05:30:00,24.92,33.48,,,,,,
200,10/14/2022 05:40:00,24.92,103.32,,,,,,
201,10/14/2022 05:50:00,24.88,190.88,,,,,,
202,10/14/2022 06:00:00,24.88,274.00,,,,,,
203,10/14/2022 06:10:00,24.84,341.92,,,,,,
204,10/14/2022 06:20:00,24.84,401.92,,,,,,
205,10/14/2022 06:30:00,24.79,1323.52,,,,,,
206,10/14/2022 06:40:00,24.84,1646.08,,,,,,
207,10/14/2022 06:50:00,24.88,2007.04,,,,,,
208,10/14/2022 07:00:00,24.84,2378.24,,,,,,
209,10/14/2022 07:10:00,24.84,2730.24,,,,,,
210,10/14/2022 07:20:00,24.88,3092.48,,,,,,
211,10/14/2022 07:30:00,24.92,3441.92,,,,,,
212,10/14/2022 07:40:00,25.01,3810.56,,,,,,
213,10/14/2022 07:50:00,25.01,4161.28,,,,,,
214,10/14/2022 08:00:00,25.09,4559.36,,,,,,
215,10/14/2022 08:10:00,25.09,4974.08,,,,,,
216,10/14/2022 08:20:00,25.22,5416.96,,,,,,
217,10/14/2022 08:30:00,25.27,5488.64,,,,,,
218,10/14/2022 08:40:00,25.31,5765.12,,,,,,
219,10/14/2022 08:50:00,25.35,6051.84,,,,,,
220,10/14/2022 09:00:00,25.39,6356.48,,,,,,
221,10/14/2022 09:10:00,25.52,6581.76,,,,,,
222,10/14/2022 09:20:00,25.57,6853.12,,,,,,
223,10/14/2022 09:30:00,25.65,6758.40,,,,,,
