date,temp,rack_config,rack_no
20260120,29,A,204
20260120,29,B,14
20260120,29,C,58
20260120,29,D,190
20260120,31,A,237
20260120,31,B,248
20260120,31,C,25
20260120,31,D,156
20260120,33,A,209
20260120,33,B,145
20260120,33,C,24
20260120,33,D,84
20260120,34,A,192
20260120,34,B,38
20260120,34,C,48
20260120,34,D,241
20260120,35,A,42
20260120,35,B,76
20260120,35,C,152
20260120,35,D,44
20260120,36,A,163
20260120,36,B,110
20260120,36,C,17
20260120,36,D,89
20260120,37,A,200
20260120,37,B,53
20260120,37,C,15
20260120,37,D,34
20260120,38,A,150
20260120,38,B,45
20260120,38,C,13
20260120,38,D,224
20260122,29,A,49
20260122,29,B,130
20260122,29,C,14
20260122,29,D,58
20260122,29,E,190
20260122,29,F,204
20260122,31,A,156
20260122,31,B,248
20260122,31,C,187
20260122,31,D,177
20260122,31,E,237
20260122,31,F,25
20260122,33,A,32
20260122,33,B,202
20260122,33,C,209
20260122,33,D,84
20260122,33,E,145
20260122,33,F,24
20260122,34,A,P100
20260122,34,B,30
20260122,34,C,48
20260122,34,D,192
20260122,34,E,38
20260122,34,F,241
20260122,35,A,16
20260122,35,B,19
20260122,35,C,44
20260122,35,D,42
20260122,35,E,152
20260122,35,F,76
20260122,36,A,247
20260122,36,B,106
20260122,36,C,110
20260122,36,D,89
20260122,36,E,163
20260122,36,F,17
20260122,37,A,94
20260122,37,B,83
20260122,37,C,15
20260122,37,D,34
20260122,37,E,200
20260122,37,F,53
20260122,38,A,229
20260122,38,B,75
20260122,38,C,45
20260122,38,D,150
20260122,38,E,224
20260122,38,F,13
20260123,29,A,204
20260123,29,B,130
20260123,29,C,190
20260123,29,D,14
20260123,29,E,58
20260123,31,A,25
20260123,31,B,156
20260123,31,C,187
20260123,31,D,177
20260123,31,E,248
20260123,33,A,209
20260123,33,B,84
20260123,33,C,24
20260123,33,D,145
20260123,33,E,32
20260123,34,A,241
20260123,34,B,192
20260123,34,C,30
20260123,34,D,38
20260123,34,E,48
20260123,35,A,44
20260123,35,B,42
20260123,35,C,19
20260123,35,D,152
20260123,35,E,16
20260123,36,A,110
20260123,36,B,89
20260123,36,C,247
20260123,36,D,163
20260123,36,E,106
20260123,37,A,83
20260123,37,B,53
20260123,37,C,15
20260123,37,D,34
20260123,37,E,200
20260123,38,A,229
20260123,38,B,45
20260123,38,C,75
20260123,38,D,13
20260123,38,E,224
