rack,date,aoi,var,value,position,temp,basket_no,date_sampled,site,collected_by,gps_id,am_pm,bag_no,time_sample12hr...7,time_sample12hr...8,depth_ft,notes,date_CBASS,uniqueID
106B,1/22/26,1,f,0.1535,1,36,22,20260121,Amouli,TC,GPS1,AM,98,11:22:00,11:22:00,3,NA,20260122,65
106B,1/22/26,1,fm,0.2859,1,36,22,20260121,Amouli,TC,GPS1,AM,98,11:22:00,11:22:00,3,NA,20260122,65
106B,1/22/26,1,y_ii_,0.463,1,36,22,20260121,Amouli,TC,GPS1,AM,98,11:22:00,11:22:00,3,NA,20260122,65
106B,1/22/26,2,f,0.1466,1,36,22,20260121,Amouli,TC,GPS1,AM,98,11:22:00,11:22:00,3,NA,20260122,65
106B,1/22/26,2,fm,0.2678,1,36,22,20260121,Amouli,TC,GPS1,AM,98,11:22:00,11:22:00,3,NA,20260122,65
106B,1/22/26,2,y_ii_,0.453,1,36,22,20260121,Amouli,TC,GPS1,AM,98,11:22:00,11:22:00,3,NA,20260122,65
106B,1/22/26,3,f,0.1735,2,36,19,20260121,Amouli,RC,GPS3,AM,56,11:23:00,11:23:00,2,NA,20260122,78
106B,1/22/26,3,fm,0.3001,2,36,19,20260121,Amouli,RC,GPS3,AM,56,11:23:00,11:23:00,2,NA,20260122,78
106B,1/22/26,3,y_ii_,0.422,2,36,19,20260121,Amouli,RC,GPS3,AM,56,11:23:00,11:23:00,2,NA,20260122,78
106B,1/22/26,4,f,0.1686,2,36,19,20260121,Amouli,RC,GPS3,AM,56,11:23:00,11:23:00,2,NA,20260122,78
106B,1/22/26,4,fm,0.2903,2,36,19,20260121,Amouli,RC,GPS3,AM,56,11:23:00,11:23:00,2,NA,20260122,78
106B,1/22/26,4,y_ii_,0.419,2,36,19,20260121,Amouli,RC,GPS3,AM,56,11:23:00,11:23:00,2,NA,20260122,78
106B,1/22/26,5,f,0.1598,3,36,17,20260121,Alofau,TC,GPS1,AM,99,10:37:00,10:37:00,9,NA,20260122,62
